week,prices
2017-10-29,42.13
2017-11-12,35.63
2017-11-19,37.7
2017-11-26,28.17
2017-12-03,22.83
2017-12-10,24
2017-12-17,21.4
2018-01-07,16.5
2018-01-28,10.8
2018-02-04,19.33
2018-02-11,16.5
2018-02-18,14.63
2018-02-25,19.88
2018-03-04,25.88
2018-03-11,28
2018-03-25,21.33
2018-04-04,18.17
2018-04-11,21
2018-04-15,17.75
2018-04-22,15.5
2018-04-29,19
2018-05-06,16.5
2018-05-13,14.75
2018-05-20,15.17
2018-05-27,19
2018-06-24,13.25
2018-07-01,23.5
2018-07-08,21
2018-07-15,20.17
2018-07-22,22.25
2018-07-29,29.4
2018-08-05,32.88
2018-08-12,22.8
2018-08-19,51.75
2018-08-26,66.67
2018-09-02,78
2018-09-09,87.10
2018-09-16,77.5
2018-09-23,85.83
2018-09-30,82.5
2018-10-07,58.7
2018-10-14,65.33
2018-10-21,44.63
2018-10-28,28
2018-11-04,44
2018-11-11,32.7
2018-11-18,24
2018-11-25,22
2018-12-02,23.83
2018-12-09,23.2
2018-12-16,27.75
2018-12-23,17
2018-12-30,15.75
2019-01-06,13.5
2019-01-13,15.9
2019-01-20,15.5
2019-01-27,10.8
2019-02-03,9
2019-02-10,9.25
2019-02-17,10
2019-02-24,11.67
2019-03-03,16.13
2019-03-10,16.23
2019-03-17,21.25
2019-03-24,26.5
2019-03-31,28.17
2019-04-07,37.83
2019-04-14,32.5
2019-04-21,29.25
2019-04-28,40.5
2019-05-05,32.83
2019-05-12,24.83
2019-05-19,27.75
2019-05-26,35.5
2019-06-02,21.5
2019-06-09,31.5
2019-06-16,34.5
2019-06-23,40.88
2019-07-07,43.83
2019-07-14,40.33
2019-07-21,36.9
2019-07-28,21.5
2019-08-04,23.10
2019-08-11,22.6
2019-08-18,25.63
2019-08-25,20.13
2019-09-01,22.5
2019-09-08,18.63
2019-09-15,29
2019-09-22,29
2019-09-29,28.7
2019-10-06,34.7
2019-10-13,26.8
2019-10-20,32.63
2019-10-27,29
2019-11-03,33.38
2019-11-10,27.38
2019-11-17,25.5
2019-11-24,27
2019-12-01,27.63
2019-12-08,34.7
2019-12-15,25
2019-12-22,21.86
2019-12-29,25.67
2020-01-05,19
2020-01-12,15.5
2020-01-19,14.2
2020-01-25,12.2
2020-02-02,9.75
2020-02-09,11.7
2020-02-16,10.10
2020-02-23,9.4
2020-03-01,9.88
2020-03-08,8.3
2020-03-15,9.10
2020-03-22,8.5
2020-03-29,10.6
2020-04-05,28.17
2020-04-12,14.83
2020-04-19,7
2020-04-26,8.4
2020-05-03,8.5
2020-05-10,9.83
2020-05-17,8.75
2020-05-24,8.5
2020-05-31,10.5
2020-06-07,13.5
2020-06-14,10
2020-06-21,24.67
2020-06-28,41.67
2020-07-05,43.5
2020-07-12,46.3
2020-07-19,41.10
2020-07-26,37.2
2020-08-02,23.9
2020-08-09,26.3
2020-08-16,20.67
2020-08-23,22
2020-08-30,23.38
2020-09-06,19.25
2020-09-13,20
2020-09-20,20
2020-09-27,21.5
2020-10-04,25.5
2020-10-11,23.75
2020-10-18,22.5
2020-10-25,19.5
2020-11-01,21
2020-11-08,21
2020-11-15,24.25
2020-11-22,42.5
2020-12-06,66.75
2020-12-13,55.67
2020-12-20,57.5
2020-12-27,64.25
2021-01-10,70
2021-01-16,58.13
2021-01-24,61.67
2021-01-31,49.5
2021-02-07,61.67
2021-02-14,61.25
2021-02-21,55.83
2021-02-28,54.25
2021-03-07,37
2021-03-14,37.5
2021-03-21,31.18
2021-03-28,21.25
2021-04-04,14
2021-04-11,22.25
2021-04-18,16.5
2021-04-25,16
2021-05-02,16.5
2021-05-09,13.67
2021-05-16,16
2021-05-30,14
2021-06-06,14
2021-06-27,14
2021-07-04,17.5
2021-07-25,14.25
2021-08-01,28
2021-08-08,34.83
2021-08-15,60.67
2021-08-22,68.33
2021-08-29,68.33
2021-09-05,63.5
2021-09-12,45.33
2021-09-19,34.83
2021-09-26,32.83
2021-10-03,30.5
2021-10-10,32
2021-10-17,40.5
2021-10-24,30.17
2021-10-31,30.5
2021-11-07,60
2021-11-14,54
2021-11-21,67.13
2021-11-28,65
2021-12-05,44
2021-12-12,36.38
2021-12-19,27.8
2021-12-26,33.5
2022-01-02,31.5
2022-01-08,21.2
2022-01-16,17
2022-01-23,16.75
2022-01-30,21.5
2022-02-06,30.5
2022-02-13,25.88
2022-02-20,35
2022-02-27,41.5
2022-03-06,46
2022-03-13,45.63
2022-03-20,34.5
2022-03-27,35.5
2022-04-03,30.5
2022-04-10,29
2022-04-17,27.33
2022-04-24,29.5
2022-05-01,29.25
2022-05-08,28.36
2022-05-15,32.83
2022-05-22,21.7
2022-05-29,19.88
2022-06-05,26.25
2022-06-12,23.4
2022-06-19,21.8
2022-06-26,22.25
2022-07-03,28.3
2022-07-10,33.2
2022-07-17,35.83
2022-07-24,40.3
2022-07-31,43.88
2022-08-07,48.8
2022-08-14,50.10
2022-08-21,61.75
2022-08-28,54.8
2022-09-04,65.38
2022-09-11,66.7
2022-09-18,68.33
2022-09-25,54.63
2022-10-02,77.13
2022-10-09,60.8
2022-10-16,68.9
2022-10-23,69.5
2022-10-30,53.13
2022-11-06,50
2022-11-13,39.5
2022-11-20,32.5
2022-11-27,43.5
2022-12-04,43
2022-12-11,36
2022-12-18,37.5
2022-12-25,44.7
2023-01-01,37.5
2023-01-08,26.16
2023-01-15,22.5
